,ID,Latitude,Longitude,nasapid,LatNP,LonNP,geometry,2022-01-02_standing water,2022-01-04,2022-01-07,2022-01-09,2022-01-14,2022-01-19,2022-02-03,2022-02-08,2022-02-11,2022-02-21,2022-02-23,2022-02-28,2022-03-03,2022-03-05,2022-03-13,total_area,flooding_date,total_flooded_area
0,5509970,16.2916666667,-15.875,152969,16.25,-15.75,"MULTIPOLYGON (((-15.916666666666686 16.25, -15.916666666666686 16.33333333333337, -15.833333333333314 16.33333333333337, -15.833333333333314 16.25, -15.916666666666686 16.25)))",0.05,5.46,293.77000000000004,293.77000000000004,294.25,294.25,294.25,294.3,401.88,402.04,402.04,402.04,402.04,402.04,407.5,1114.78,2022-01-07,402.04
1,5509969,16.2916666667,-15.9583333333,152969,16.25,-15.75,"MULTIPOLYGON (((-16 16.25, -16 16.33333333333337, -15.916666666666686 16.33333333333337, -15.916666666666686 16.25, -16 16.25)))",0.07,842.12,1655.8500000000001,1656.13,1666.0400000000002,1666.0400000000002,1666.27,1667.44,1686.41,1688.16,1688.16,1688.16,1688.3300000000002,1688.3300000000002,2530.4500000000003,6401.76,2022-03-13,1688.3300000000002
2,5505644,16.2083333333,-16.375,152968,16.25,-16.25,"MULTIPOLYGON (((-16.416666666666686 16.166666666666686, -16.416666666666686 16.25, -16.333333333333314 16.25, -16.333333333333314 16.166666666666686, -16.416666666666686 16.166666666666686)))",701.1,2060.2200000000003,2061.2200000000003,2747.3700000000003,3026.2000000000003,3026.3500000000004,3061.23,3065.06,3072.94,3072.98,3073.6400000000003,3102.1800000000003,3115.3,3125.03,5181.39,6775.01,2022-03-13,3125.03
3,5505643,16.2083333333,-16.4583333333,152968,16.25,-16.25,"MULTIPOLYGON (((-16.5 16.166666666666686, -16.5 16.25, -16.416666666666686 16.25, -16.416666666666686 16.166666666666686, -16.5 16.166666666666686)))",185.74,0.0,0.05,1388.0600000000002,1693.21,1693.21,1693.21,1693.3000000000002,1697.89,1697.89,1697.89,1697.89,1697.89,1697.89,1697.89,1883.63,2022-01-09,1697.89
4,5527255,16.625,-15.4583333333,153690,16.75,-15.25,"MULTIPOLYGON (((-15.5 16.583333333333314, -15.5 16.6666666666668, -15.416666666666686 16.6666666666668, -15.416666666666686 16.583333333333314, -15.5 16.583333333333314)))",0.030000000000000002,0.0,12.08,12.08,60.120000000000005,60.120000000000005,60.120000000000005,60.75,223.67000000000002,223.67000000000002,223.67000000000002,223.67000000000002,223.67000000000002,223.67000000000002,223.67000000000002,223.70000000000002,2022-02-11,223.67000000000002
5,5505648,16.2083333333,-16.0416666667,152968,16.25,-16.25,"MULTIPOLYGON (((-16.08333333333337 16.166666666666686, -16.08333333333337 16.25, -16 16.25, -16 16.166666666666686, -16.08333333333337 16.166666666666686)))",0.37,396.40000000000003,541.7,541.7,552.85,552.85,552.85,555.58,5200.46,5200.5,5200.5,5200.5,5200.5,5200.5,5596.900000000001,6196.900000000001,2022-02-11,5200.5
6,5505647,16.2083333333,-16.125,152968,16.25,-16.25,"MULTIPOLYGON (((-16.16666666666663 16.166666666666686, -16.16666666666663 16.25, -16.08333333333337 16.25, -16.08333333333337 16.166666666666686, -16.16666666666663 16.166666666666686)))",1.05,743.58,759.6500000000001,759.89,797.23,797.23,797.23,800.62,3422.4300000000003,3422.5,3422.5,3422.5,3422.5,3422.5,4166.08,8602.560000000001,2022-02-11,3422.5
7,5505646,16.2083333333,-16.2083333333,152968,16.25,-16.25,"MULTIPOLYGON (((-16.25 16.166666666666686, -16.25 16.25, -16.16666666666663 16.25, -16.16666666666663 16.166666666666686, -16.25 16.166666666666686)))",6.53,1952.7800000000002,1957.3600000000001,1959.5700000000002,2031.75,2031.75,2032.0400000000002,2048.55,2051.9900000000002,2051.9900000000002,2051.9900000000002,2052.14,2052.7200000000003,2052.7200000000003,4005.3,8593.29,2022-03-13,2052.7200000000003
8,5505645,16.2083333333,-16.2916666667,152968,16.25,-16.25,"MULTIPOLYGON (((-16.333333333333314 16.166666666666686, -16.333333333333314 16.25, -16.25 16.25, -16.25 16.166666666666686, -16.333333333333314 16.166666666666686)))",547.47,1810.52,1811.49,1812.2800000000002,1888.1100000000001,1888.13,1930.26,1933.38,1936.7,1937.19,1942.3100000000002,1949.9,1953.5900000000001,1953.97,3755.04,8602.560000000001,2022-03-13,1953.97
9,5522926,16.5416666667,-16.2083333333,153688,16.75,-16.25,"MULTIPOLYGON (((-16.25 16.5, -16.25 16.583333333333314, -16.16666666666663 16.583333333333314, -16.16666666666663 16.5, -16.25 16.5)))",1635.96,37.38,37.38,37.4,303.76,303.76,303.78000000000003,307.26,307.26,307.26,307.47,310.85,312.1,312.1,349.48,1952.7800000000002,2022-01-14,312.1
10,5522925,16.5416666667,-16.2916666667,153688,16.75,-16.25,"MULTIPOLYGON (((-16.333333333333314 16.5, -16.333333333333314 16.583333333333314, -16.25 16.583333333333314, -16.25 16.5, -16.333333333333314 16.5)))",649.58,84.44,84.58,84.62,176.23000000000002,176.23000000000002,176.23000000000002,178.12,197.94,197.94,197.94,198.68,198.68,198.68,283.12,865.6700000000001,2022-01-14,198.68
11,5522930,16.5416666667,-15.875,153689,16.75,-15.75,"MULTIPOLYGON (((-15.916666666666686 16.5, -15.916666666666686 16.583333333333314, -15.833333333333314 16.583333333333314, -15.833333333333314 16.5, -15.916666666666686 16.5)))",0.12000000000000001,0.15,14.930000000000001,567.61,722.6800000000001,722.85,729.1500000000001,731.96,731.96,731.98,732.01,732.48,865.4200000000001,865.47,865.51,948.7,2022-01-09,865.47
