,ID,Latitude,Longitude,nasapid,LatNP,LonNP,geometry,2022-01-02_standing water,2022-01-04,2022-01-07,2022-01-09,2022-01-14,2022-01-19,2022-02-03,2022-02-08,2022-02-11,2022-02-21,2022-02-23,2022-02-28,2022-03-03,2022-03-05,2022-03-13,total_area
0,5509970,16.2916666667,-15.875,152969,16.25,-15.75,"MULTIPOLYGON (((-15.916666666666686 16.25, -15.916666666666686 16.33333333333337, -15.833333333333314 16.33333333333337, -15.833333333333314 16.25, -15.916666666666686 16.25)))",0.05,0.004897827374011015,0.2635228475573656,0.2635228475573656,0.26395342578804787,0.26395342578804787,0.26395342578804787,0.2639982776870773,0.3605016236387449,0.36064514971563894,0.36064514971563894,0.36064514971563894,0.36064514971563894,0.36064514971563894,0.36554297708965,1114.78
1,5509969,16.2916666667,-15.9583333333,152969,16.25,-15.75,"MULTIPOLYGON (((-16 16.25, -16 16.33333333333337, -15.916666666666686 16.33333333333337, -15.916666666666686 16.25, -16 16.25)))",0.07,0.1315450751043463,0.2586554322561296,0.2586991702281872,0.2602471820249431,0.2602471820249431,0.2602831096448477,0.26046587188523157,0.26342911949213965,0.26370248181750017,0.26370248181750017,0.26370248181750017,0.2637290370148209,0.2637290370148209,0.39527411211916724,6401.76
2,5505644,16.2083333333,-16.375,152968,16.25,-16.25,"MULTIPOLYGON (((-16.416666666666686 16.166666666666686, -16.416666666666686 16.25, -16.333333333333314 16.25, -16.333333333333314 16.166666666666686, -16.416666666666686 16.166666666666686)))",701.1,0.30409106407223013,0.3042386653303833,0.40551526861214965,0.44667092742298536,0.44669306761170835,0.4518413994960893,0.4524067123148158,0.4535698102290624,0.45357571427938853,0.4536731311097696,0.45788567101745975,0.45982219952442877,0.4612583597662587,0.7647796829820177,6775.01
3,5505643,16.2083333333,-16.4583333333,152968,16.25,-16.25,"MULTIPOLYGON (((-16.5 16.166666666666686, -16.5 16.25, -16.416666666666686 16.25, -16.416666666666686 16.166666666666686, -16.5 16.166666666666686)))",185.74,0.0,2.6544491221736754e-05,0.7369069297048784,0.8989079596311378,0.8989079596311378,0.8989079596311378,0.8989557397153368,0.9013925240094923,0.9013925240094923,0.9013925240094923,0.9013925240094923,0.9013925240094923,0.9013925240094923,0.9013925240094923,1883.63
4,5527255,16.625,-15.4583333333,153690,16.75,-15.25,"MULTIPOLYGON (((-15.5 16.583333333333314, -15.5 16.6666666666668, -15.416666666666686 16.6666666666668, -15.416666666666686 16.583333333333314, -15.5 16.583333333333314)))",0.030000000000000002,0.0,0.05400089405453733,0.05400089405453733,0.26875279392042917,0.26875279392042917,0.26875279392042917,0.2715690657130085,0.999865891819401,0.999865891819401,0.999865891819401,0.999865891819401,0.999865891819401,0.999865891819401,0.999865891819401,223.70000000000002
5,5505648,16.2083333333,-16.0416666667,152968,16.25,-16.25,"MULTIPOLYGON (((-16.08333333333337 16.166666666666686, -16.08333333333337 16.25, -16 16.25, -16 16.166666666666686, -16.08333333333337 16.166666666666686)))",0.37,0.06396746760477012,0.08741467507947522,0.08741467507947522,0.08921396181961949,0.08921396181961949,0.08921396181961949,0.08965450467169069,0.839203472704094,0.8392099275444174,0.8392099275444174,0.8392099275444174,0.8392099275444174,0.8392099275444174,0.9031773951491875,6196.900000000001
6,5505647,16.2083333333,-16.125,152968,16.25,-16.25,"MULTIPOLYGON (((-16.16666666666663 16.166666666666686, -16.16666666666663 16.25, -16.08333333333337 16.25, -16.08333333333337 16.166666666666686, -16.16666666666663 16.166666666666686)))",1.05,0.08643706059591563,0.08830510917680319,0.08833300784882639,0.09267357623777109,0.09267357623777109,0.09267357623777109,0.09306764498009895,0.39783855038500165,0.3978466874976751,0.3978466874976751,0.3978466874976751,0.3978466874976751,0.3978466874976751,0.48428374809359076,8602.560000000001
7,5505646,16.2083333333,-16.2083333333,152968,16.25,-16.25,"MULTIPOLYGON (((-16.25 16.166666666666686, -16.25 16.25, -16.16666666666663 16.25, -16.16666666666663 16.166666666666686, -16.25 16.166666666666686)))",6.53,0.2272447456096559,0.22777771959284512,0.2280348969952137,0.23643447387438338,0.23643447387438338,0.23646822113532767,0.23838948761184597,0.23878979994856453,0.23878979994856453,0.23878979994856453,0.23880725542836329,0.23887474995025187,0.23887474995025187,0.4660962215868428,8593.29
8,5505645,16.2083333333,-16.2916666667,152968,16.25,-16.25,"MULTIPOLYGON (((-16.333333333333314 16.166666666666686, -16.333333333333314 16.25, -16.25 16.25, -16.25 16.166666666666686, -16.333333333333314 16.166666666666686)))",547.47,0.2104629319644385,0.21057568909719898,0.21066752222594204,0.2194823401406093,0.21948466502994457,0.22438204441468587,0.22474472715098762,0.22513065878064203,0.2251876185693561,0.22578279023918463,0.22666508574191868,0.22709402782427557,0.22713820072164564,0.4365026224751702,8602.560000000001
9,5522926,16.5416666667,-16.2083333333,153688,16.75,-16.25,"MULTIPOLYGON (((-16.25 16.5, -16.25 16.583333333333314, -16.16666666666663 16.583333333333314, -16.16666666666663 16.5, -16.25 16.5)))",1635.96,0.019141941232499307,0.019141941232499307,0.01915218304161247,0.15555259681070063,0.15555259681070063,0.1555628386198138,0.15734491340550394,0.15734491340550394,0.15734491340550394,0.15745245240119216,0.15918331814131648,0.1598234312108891,0.1598234312108891,0.1789653724433884,1952.7800000000002
